key,translation,locale
paymentTemplateCreditCard,Credit Card via PaymentTemplate,en_US
paymentTemplateInvoice,Invoice via PaymentTemplate,en_US
checkout.payment.provider.PaymentTemplate,PaymentTemplate,en_US
oms.state.new,New,en_US
oms.state.processing,Processing,en_US
oms.state.authorization-pending,Authorization Pending,en_US
oms.state.authorization-failed,Authorization Failed,en_US
oms.state.authorized,Authorized,en_US
oms.state.capture-pending,Capture Pending,en_US
oms.state.captured,Captured,en_US
oms.state.refund-pending,Refund Pending,en_US
oms.state.refunded,Refunded,en_US
oms.state.closed-for-refund,Refunded,en_US
